,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
133,Quentin Tarantino,2.0,John Travolta,2.0,Samuel L. Jackson,2.0,Uma Thurman,1.0
134,Mario Van Peebles,2.0,Kadeem Hardison,2.0,Bokeem Woodbine,2.0,Courtney B. Vance,2.0
135,Antonia Bird,1.0,Linus Roache,2.0,Tom Wilkinson,2.0,Robert Carlyle,2.0
136,Sam Raimi,2.0,Sharon Stone,1.0,Gene Hackman,2.0,Russell Crowe,2.0
137,Robert Altman,2.0,Marcello Mastroianni,2.0,Sophia Loren,1.0,Jean-Pierre Cassel,2.0
138,Richard Rich,2.0,Michelle Nicastro,1.0,Jack Palance,2.0,Howard McGillin,2.0
139,Luis Llosa,2.0,Sylvester Stallone,2.0,Sharon Stone,1.0,James Woods,2.0
140,Roland Emmerich,2.0,Kurt Russell,2.0,James Spader,2.0,Jaye Davidson,2.0
141,John Pasquin,2.0,Tim Allen,2.0,Judge Reinhold,2.0,Wendy Crewson,1.0
142,Frank Darabont,2.0,Tim Robbins,2.0,Morgan Freeman,2.0,Bob Gunton,2.0
143,Scott McGehee,2.0,Dennis Haysbert,2.0,Michael Harris,2.0,Mel Harris,1.0
144,Rachel Talalay,1.0,Lori Petty,1.0,Ice-T,2.0,Naomi Watts,1.0
145,David Carson,2.0,Patrick Stewart,2.0,Jonathan Frakes,2.0,Brent Spiner,2.0
146,Rusty Cundieff,2.0,Clarence Williams III,2.0,Corbin Bernsen,2.0,David Alan Grier,2.0
147,Peter Segal,2.0,Chris Farley,2.0,David Spade,2.0,Brian Dennehy,2.0
148,Lasse Hallström,2.0,Johnny Depp,2.0,Leonardo DiCaprio,2.0,Juliette Lewis,1.0
149,Brett Leonard,0.0,Denzel Washington,2.0,Russell Crowe,2.0,Kelly Lynch,1.0
150,Jon Turteltaub,2.0,Sandra Bullock,1.0,Bill Pullman,2.0,Peter Gallagher,2.0
151,Mina Shum,0.0,Sandra Oh,1.0,Stephen Chang,2.0,Alannah Ong,1.0
152,P.J. Hogan,2.0,Toni Collette,1.0,Bill Hunter,2.0,Rachel Griffiths,1.0
153,Tom Shadyac,2.0,Jim Carrey,2.0,Sean Young,1.0,Courteney Cox,1.0
154,Stephan Elliott,2.0,Terence Stamp,2.0,Hugo Weaving,2.0,Guy Pearce,2.0
155,Roman Polanski,2.0,Hugh Grant,2.0,Kristin Scott Thomas,1.0,Emmanuelle Seigner,1.0
156,Phillip Noyce,2.0,Harrison Ford,2.0,Willem Dafoe,2.0,Anne Archer,1.0
157,Joel Schumacher,2.0,Susan Sarandon,1.0,Tommy Lee Jones,2.0,Mary-Louise Parker,1.0
158,Alex Proyas,2.0,Brandon Lee,2.0,Rochelle Davis,1.0,Ernie Hudson,2.0
159,Ron Shelton,2.0,Tommy Lee Jones,2.0,Robert Wuhl,2.0,Lolita Davidovich,1.0
160,Brian Levant,2.0,John Goodman,2.0,Elizabeth Perkins,1.0,Rick Moranis,2.0
