,adjusted_revenue
1103,41380953.4
1104,26138297.14
1105,16661791.82
1106,5660559.62
1107,53638236.33
1108,138158976.75
1109,17658322.07
1110,19512519.46
1111,682078269.53
1112,78694556.58
1113,42674278.34
1114,41867325.39
1115,124440005.61
1116,16069873.59
1117,8879191.48
1118,107929178.7
1119,449914.29
1120,4203728.38
1121,312558769.48
1122,6110117.89
1123,46696773.48
1124,34016940.83
1125,9391879.85
1126,194617462.47
1127,611986657.63
1128,1316008.89
1129,13267840.75
1130,1309369.39
1131,1360158094.55
1132,1127929391.17
1133,566567459.24
1134,186671419.12
1135,41607809.65
1136,514084893.46
1137,5311441.64
1138,16565013.65
1139,535473427.69
1140,27317553.74
1141,388658.58
1142,2939826.62
1143,457556681.94
1144,14278475.24
1145,659244023.97
1146,220296179.21
1147,27275031.03
1148,345517290.39
1149,623560.7
1150,99820398.55
1151,326832999.21
1152,346519560.56
1153,23972608.42
1154,364938656.12
1155,238521562.97
1156,83686340.56
1157,36875932.84
1158,696461567.74
1159,425900524.98
1160,15556110.6
1161,3016034.05
1162,108375344.16
1163,43795597.98
1164,455375030.09
1165,496950409.46
1166,91075265.0
1167,3904663.24
1168,31988058.65
1169,178512225.76
1170,51228029.26
1171,333262418.97
1172,27517589.61
1173,2909947.42
1174,38507980.13
1175,86660496.66
1176,56241201.11
1177,20520070.58
1178,6152011.75
1179,12700496.54
1180,40466988.08
1181,34079538.89
1182,990052516.27
1183,182918410.09
1184,19129848.91
1185,6205597.91
1186,569410.75
1187,12004311.16
1188,16388804.19
1189,17966632.52
1190,99630369.32
1191,55202823.16
1192,248253600.74
1193,68965052.63
1194,40574857.13
1195,112455718.66
1196,151106752.99
1197,314370967.57
1198,331334464.46
1199,47483660.0
1200,13164627.86
1201,15698090.87
1202,20618230.62
1203,531066.68
1204,125120346.6
1205,90791585.83
1206,28839848.25
1207,16575228.28
1208,10730631.23
1209,73637751.72
1210,31097904.72
1211,545447.91
1212,51480649.5
1213,16416810.26
1214,524300011.09
1215,11746210.64
1216,173284793.3
1217,79141683.78
1218,97208212.14
1219,53963786.47
1220,56774427.02
1221,6184628.77
1222,270334350.58
1223,94292668.71
1224,237693726.0
1225,18808350.99
1226,155973335.8
1227,261698625.72
1228,903814.73
1229,33246807.73
1230,13079140.98
1231,158924898.63
1232,2860131.67
1233,18005213.39
1234,11077954.93
1235,40480534.38
1236,85459613.74
1237,32388003.9
1238,109788513.19
1239,16982312.94
1240,4698735.29
1241,156378854.39
1242,490241519.68
1243,64876703.46
1244,156859466.6
1245,3346979.63
1246,86632900.25
1247,47918278.6
1248,108895275.53
1249,70401308.01
1250,304796251.13
1251,228682796.73
1252,332684119.06
1253,986974995.31
1254,631722215.87
1255,482995786.99
1256,175073407.96
1257,347807.26
1258,627123586.46
1259,22158959.08
1260,8008173.63
1261,148409004.37
1262,86672976.45
1263,3531664.41
1264,114242393.4
1265,127716276.1
1266,36095065.45
1267,50876245.2
1268,353010.46
1269,31963669.32
1270,114259788.16
1271,85699471.31
1272,683600102.06
1273,526677586.76
1274,308789408.18
1275,892693192.88
1276,1097601419.28
1277,21865997.09
1278,33644395.15
1279,54316435.09
1280,222926979.3
1281,88718223.64
1282,53415126.03
1283,30181830.83
1284,4609464.65
1285,9351358.9
1286,69405976.37
1287,8512404.37
1288,53676493.98
1289,2593546.85
1290,82179699.1
1291,176888197.95
1292,199225661.58
1293,222478015.32
1294,68422389.2
1295,6195385.33
1296,27449295.12
1297,45106550.33
1298,406008203.49
1299,186529194.81
1300,137107575.38
1301,29007925.79
1302,173848483.89
1303,303239745.99
1304,532446087.9
1305,125044669.59
1306,3622591.49
1307,113127710.39
1308,75885972.88
1309,690184510.6
1310,10918550.81
1311,79621679.32
1312,97734801.26
1313,274235017.26
1314,75404065.07
1315,27130656.47
1316,988529.71
1317,311947566.39
1318,731888696.67
1319,6604990.89
1320,934560.81
1321,1885284.87
1322,81116682.13
1323,15933421.85
1324,29437222.61
1325,15478245.1
1326,18760348.23
1327,96436610.0
1328,418796538.44
1329,130296479.36
1330,176400127.51
1331,137882064.83
1332,441657247.94
1333,133724368.76
1334,71298128.52
1335,303322.88
1336,1367940.18
1337,173317530.29
1338,147492359.4
1339,69801036.85
1340,133443816.28
1341,189530103.79
1342,85161728.84
1343,108828593.56
1344,12411072.2
1345,747448.81
1346,21107160.48
1347,210552.97
1348,248310860.58
1349,42126705.16
1350,293928324.68
1351,15472391.01
1352,68818605.74
1353,14320186.95
1354,9531693.39
1355,3189288.26
1356,1097029.45
1357,55121572.62
1358,19809996.54
1359,71087550.47
1360,412523918.32
1361,84148149.01
1362,404591693.9
1363,97259993.09
1364,153791531.41
1365,62330779.11
1366,234251378.07
1367,212593398.96
1368,81387902.93
1369,187720056.52
1370,311038822.69
1371,717988840.66
1372,260328090.25
1373,240694981.17
1374,45361048.63
1375,32270274.1
1376,7268602.42
1377,158538081.29
1378,29041309.37
1379,123350923.16
1380,223603563.3
1381,43856898.9
1382,9557459.16
1383,3527816.13
1384,230364403.53
1385,83881735.84
1386,2322855.38
1387,205059005.07
1388,64844995.03
1389,1651593.55
1390,40967503.55
1391,51298474.07
1392,75710434.42
1393,151415649.03
1394,24499932.51
1395,20706267.06
1396,45791199.3
1397,12811128.04
1398,21959970.23
1399,34679399.07
1400,735763.42
1401,55587510.31
1402,1522783.83
1403,3302862.53
1404,32026976.13
1405,86652498.6
1406,85939960.37
1407,67532450.36
1408,63980514.24
1409,105477939.7
1410,212505260.08
1411,772522677.35
1412,369691562.66
1413,107789262.82
1414,15748898.73
1415,84771525.02
1416,12223277.15
1417,258841752.38
1418,15809294.29
1419,364791584.34
1420,75873641.08
1421,286538637.44
1422,81641334.52
1423,112441529.86
1424,529741836.33
1425,73744371.62
1426,30304702.99
1427,58462765.53
1428,21915565.65
1429,109331414.66
1430,114304468.86
1431,38602167.79
1432,2815247.82
1433,20706267.06
1434,2147288.95
1435,378959034.25
1436,140385443.27
1437,71266380.14
1438,90537352.76
1439,10882575.93
1440,24471095.5
1441,75140686.0
1442,267157429.14
1443,416161152.11
1444,129587065.46
1445,14095251.46
1446,466065.99
1447,70401308.01
1448,28149439.62
1449,80067440.33
1450,62277455.94
1451,1228628216.19
1452,48711514.33
1453,116880036.74
1454,41989257.98
1455,18339238.89
1456,67082333.28
1457,108798828.04
1458,49831273.94
1459,45287181.37
1460,541482534.46
1461,95258991.84
1462,275390.5
1463,131496200.51
1464,114957545.72
1465,23233807.75
1466,70318167.89
1467,46636149.03
1468,102024895.42
1469,76553012.48
1470,88059992.16
1471,313774765.28
1472,136952660.18
1473,7712735.7
1474,96946425.03
1475,17611614.3
1476,52112814.85
1477,101065565.68
1478,526644.12
1479,27163357.99
1480,257420546.88
1481,90677606.46
