,prod_company,num_movies,dom_box_office,int_box_office
252,Fuzzy Door,2,300142125,773230770
253,Double Feature Films,11,298535978,519627837
254,Mirage,8,294098611,448869536
255,Rogue Pictures,10,293487562,598764936
256,Emmett/Furla Films,11,292749621,526447267
257,Mayhem Pictures,5,291298205,404503456
258,Out of the Blue Entertainment,2,289773247,399910818
259,Lynda Obst Productions,3,289062382,865907220
260,Bernd Eichinger,2,286617818,622613441
261,Neal H. Moritz,2,286442310,473712310
262,UK Film Council,24,285732718,905929542
263,Brad Grey,4,284895283,498685720
264,TF1 Film Productions,23,284388751,1479347239
265,Laika,5,283508784,538422188
266,Flower Films,6,282633602,596620889
267,Hyde Park Entertainment,12,281274673,453660259
268,Mark Canton,6,280911937,747621556
269,Affirm Films,10,280464898,324774056
270,MARV Films,8,280186611,829198708
271,Steven Spielberg,3,276936489,576942849
272,Shangri-La Entertainment,5,276860517,518263200
273,United Artists,7,275408053,614494537
274,STX Entertainment,14,274560534,432790295
275,Esperanto Filmoj,1,274092705,695941797
276,Red Granite Pictures,5,272968502,448728424
277,Vertigo Films,18,272509248,657717310
278,Black Label Media,10,266914618,604340712
279,Exclusive Media Group,12,266036687,596870250
280,Forward Pass,4,265903393,528002571
281,Infinitum Nihil,5,263699720,730193433
282,Rat Entertainment,6,262041375,522448332
283,Le Grisbi,7,261602163,505288105
284,Nick Wechsler,7,259774149,474434324
285,Runteldat Entertainment,4,259063630,426362070
286,FilmDistrict,5,259061227,496924902
287,CBS Films,12,258986536,432026721
288,Sikelia Productions,6,257449668,712121849
289,Tim Burton,6,255461467,739542442
290,TIK Films,6,255319342,1010534858
291,LD Entertainment,14,255079292,320687337
292,Four by Two Films,4,255074726,609022074
293,Moritz Borman,5,254064772,678180201
294,John Davis,2,254014499,429314499
295,Protozoa Pictures,9,250692340,775772686
296,Allison Shearmur,3,250642270,612543480
297,Tree Line Film,3,249549353,517630690
298,Bazmark,3,248565516,677791643
299,United Plankton Pictures,2,248410641,453645287
300,Katja Motion Picture Corporation,2,247095503,598020129
301,Misher Films,8,246762539,557716877
302,Tollin/Robbins,3,245866167,340608596
303,Sahdy Acres,1,242704995,484468608
304,Pitt Bull,1,242704995,484468608
305,Gotham Group,10,242445931,943469651
306,Josephson Entertainment,5,241875083,611064671
307,Why Not Productions,24,239031999,465892415
308,Anton Capital Entertainment,15,238273216,883991242
309,Lego Systems A/S ,2,235031939,433721241
310,Curtis-Donen Productions,1,234770996,490359051
311,Carolco Pictures,2,233970952,548334342
312,Simon Kinberg,1,233921534,747862775
313,HBO Films,7,233479558,536826392
314,Section Eight,6,233203528,544095992
315,Lawrence Bender,5,232562719,423268609
316,Pariah Productions,8,231329286,491930573
317,Hyayi Brothers Corp.,24,230319851,1483926374
318,DC Films,3,229024295,655953446
319,QED International,8,228418089,627037232
320,Blue Light,2,227991744,625921263
321,Pearl Street,5,227864744,528132123
322,Leonard Goldberg,2,226119873,486936090
323,M. Productions,2,225978492,636165597
324,Stuber Pictures,4,225358994,443922740
325,River Road Entertainment,11,224315604,725541790
326,Guillermo del Toro,3,223582629,656750015
327,Endgame Entertainment,12,223387803,462419730
328,Interscope Films,3,223235521,448835190
329,Sidney Kimmel Entertainment,16,222159935,405535230
330,Film4,36,222065630,805600103
331,Wild Bunch,48,220773522,658253519
332,Dickhouse,3,219232711,332588812
333,Blue Wolf,1,219195051,441286003
334,Jim Henson Productions,6,218786535,274375433
335,Cold Springs Pictures,5,218559944,517352711
336,Intermedia Film,5,217529331,458592572
337,Zanuck/Brown,2,216722012,425722012
338,Riche-Ludwig,2,214843286,519343286
339,See-Saw Films,12,214126499,659675968
340,Gratitude International,1,213117789,296338663
341,Impact Pictures,8,213101311,1194419307
342,Conundrum Entertainment,4,212394225,425548106
343,Zadan/Meron,2,212338351,377843017
344,The Bedford Falls Company,4,211428369,736310575
345,Mirage Enterprises,3,211119156,406930919
346,Big Talk Pictures,10,210841309,469980331
347,Aggregate Films,4,210766848,293586538
